FID,fid,the_geom,id,site_name,continent,country,latitude,longitude,year_opera,year_shut_,main_mar_t,specific_m,link_to_do,influent_s,final_use,main_objec,reference_
Global_MAR_Inventory.1,1,POINT (39.410441 13.974516),2,Koraro-01,Africa,Ethiopia,13.974516,39.410441,2009,-9999,In-Channel Modification,Subsurface Dam,"<a href=""https://inowas.com/mar-methods/subsurface-dams/"" target=""_blank"">Subsurface dams</a>",Groundwater,Domestic,Physical Aquifer Management,no data
Global_MAR_Inventory.2,2,POINT (30.404489 30.38331),3,El Bustan Extension Area,Africa,Egypt,30.38331,30.404489,1995,-9999,Spreading Methods,Infiltration Ponds and Basins,"<a href=""https://inowas.com/mar-methods/infiltration-ponds-and-basins/"" target=""_blank"">Infiltration ponds</a> (<a href=""https://inowas.com/mar-methods/soil-aquifer-treatment-sat/"" target=""_blank"">SAT</a>)",River water,no data,Maximize Natural Storage,"Arabi, N. E. 2011. Artificial Recharge in Egypt Extending the Practice to Soil Aquifer Treatment (SAT). Conference talk presented at the Second Arab Water Forum, November, Cairo, Egypt."
Global_MAR_Inventory.3,3,POINT (31.62777777 22.4222222),4,Toushka Khoure,Africa,Egypt,22.4222222,31.62777777,2001,-9999,Spreading Methods,Infiltration Ponds and Basins,"<a href=""https://inowas.com/mar-methods/infiltration-ponds-and-basins/"" target=""_blank"">Infiltration ponds</a> (<a href=""https://inowas.com/mar-methods/soil-aquifer-treatment-sat/"" target=""_blank"">SAT</a>)",River water,no data,Maximize Natural Storage,"Arabi, N. E. 2011. Artificial Recharge in Egypt Extending the Practice to Soil Aquifer Treatment (SAT). Conference talk presented at the Second Arab Water Forum, November, Cairo, Egypt."
Global_MAR_Inventory.4,4,POINT (31.236138 29.677871),5,Abu Rawash,Africa,Egypt,29.677871,31.236138,-9999,-9999,Spreading Methods,Infiltration Ponds and Basins,"<a href=""https://inowas.com/mar-methods/infiltration-ponds-and-basins/"" target=""_blank"">Infiltration ponds</a> (<a href=""https://inowas.com/mar-methods/soil-aquifer-treatment-sat/"" target=""_blank"">SAT</a>)",Reclaimed wastewater,no data,Water Quality Management,"Arabi, N. E. 2011. Artificial Recharge in Egypt Extending the Practice to Soil Aquifer Treatment (SAT). Conference talk presented at the Second Arab Water Forum, November, Cairo, Egypt."
Global_MAR_Inventory.5,5,POINT (31.389553 26.967987),6,Sidfa Riverbank Filtration,Africa,Egypt,26.967987,31.389553,2004,-9999,Induced Bank Filtration,Induced Bank Filtration,"<a href=""https://inowas.com/mar-methods/induced-bank-filtration/"" target=""_blank"">River/lake bank filtration</a><br><a href=""https://inowas.com/mar-methods/dune-filtration/"" target=""_blank"">Dune filtration</a>",River water,Domestic,Water Quality Management,"Shamrukh, M., and A. Abdel-Wahab. 2008. Riverbank Filtration for Sustainable Water Supply: Application to a Large-Scale Facility on the Nile River. Clean Technologies and Environmental Policy 10 (4): 351–358. doi:10.1007/s10098-007-0143-2."
Global_MAR_Inventory.6,6,POINT (38.00394 -1.46194),7,Kitui District,Africa,Kenia,-1.46194,38.00394,-9999,-9999,In-Channel Modification,Sand Storage Dams,"<a href=""https://inowas.com/mar-methods/sand-dams/"" target=""_blank"">Sand dams</a>",Groundwater,Domestic,Maximize Natural Storage,"<a href=""http://siteresources.worldbank.org/INTWRD/Resources/GWMATE_English_CP_05.pdf"" target=""_blank"">Foster, S., and A. Tuinhof. 2004. Subsurface Dams to Augment Groundwater Storage in Basement Terrain for Human Subsistence in Brazil and Kenya. 5. Case"
Global_MAR_Inventory.7,7,POINT (38.00394 -1.46194),8,Kitui District,Africa,Kenia,-1.46194,38.00394,-9999,-9999,In-Channel Modification,Subsurface Dam,"<a href=""https://inowas.com/mar-methods/subsurface-dams/"" target=""_blank"">Subsurface dams</a>",Groundwater,Domestic,Maximize Natural Storage,"<a href=""http://siteresources.worldbank.org/INTWRD/Resources/GWMATE_English_CP_05.pdf"" target=""_blank"">Foster, S., and A. Tuinhof. 2004. Subsurface Dams to Augment Groundwater Storage in Basement Terrain for Human Subsistence in Brazil and Kenya. 5. Case"
Global_MAR_Inventory.8,8,POINT (38.00394 -1.46194),9,Kiindu Dam 3,Africa,Kenia,-1.46194,38.00394,-9999,-9999,In-Channel Modification,Subsurface Dam,"<a href=""https://inowas.com/mar-methods/subsurface-dams/"" target=""_blank"">Subsurface dams</a>",River water,Domestic,Maximize Natural Storage,"<a href=""https://www.samsamwater.com/library/Gijsbertsen_2007_-_A_study_to_upscaling_of_the_principle_and_sediment_transport_processes_behind_sand_storage_dams_Kitui_District_Kenya.pdf"" target=""_blank"">Gijsbertsen, C. 2007. A Study to up-Scaling of the P"
Global_MAR_Inventory.9,9,POINT (38.00079 -1.45665),10,Kiindu Dam 4,Africa,Kenia,-1.45665,38.00079,-9999,-9999,In-Channel Modification,Subsurface Dam,"<a href=""https://inowas.com/mar-methods/subsurface-dams/"" target=""_blank"">Subsurface dams</a>",River water,Domestic,Maximize Natural Storage,"<a href=""https://www.samsamwater.com/library/Gijsbertsen_2007_-_A_study_to_upscaling_of_the_principle_and_sediment_transport_processes_behind_sand_storage_dams_Kitui_District_Kenya.pdf"" target=""_blank"">Gijsbertsen, C. 2007. A Study to up-Scaling of the P"
Global_MAR_Inventory.10,10,POINT (38.00053 -1.45557),11,Kiindu Dam 5,Africa,Kenia,-1.45557,38.00053,-9999,-9999,In-Channel Modification,Subsurface Dam,"<a href=""https://inowas.com/mar-methods/subsurface-dams/"" target=""_blank"">Subsurface dams</a>",River water,Domestic,Maximize Natural Storage,"<a href=""https://www.samsamwater.com/library/Gijsbertsen_2007_-_A_study_to_upscaling_of_the_principle_and_sediment_transport_processes_behind_sand_storage_dams_Kitui_District_Kenya.pdf"" target=""_blank"">Gijsbertsen, C. 2007. A Study to up-Scaling of the P"
Global_MAR_Inventory.11,11,POINT (37.99972 -1.45142),12,Kiindu Dam 6,Africa,Kenia,-1.45142,37.99972,-9999,-9999,In-Channel Modification,Subsurface Dam,"<a href=""https://inowas.com/mar-methods/subsurface-dams/"" target=""_blank"">Subsurface dams</a>",River water,Domestic,Maximize Natural Storage,"<a href=""https://www.samsamwater.com/library/Gijsbertsen_2007_-_A_study_to_upscaling_of_the_principle_and_sediment_transport_processes_behind_sand_storage_dams_Kitui_District_Kenya.pdf"" target=""_blank"">Gijsbertsen, C. 2007. A Study to up-Scaling of the P"
Global_MAR_Inventory.12,12,POINT (38.00249 -1.449857),13,Kiindu Dam,Africa,Kenia,-1.449857,38.00249,-9999,-9999,In-Channel Modification,Subsurface Dam,"<a href=""https://inowas.com/mar-methods/subsurface-dams/"" target=""_blank"">Subsurface dams</a>",River water,Domestic,Maximize Natural Storage,"<a href=""https://www.samsamwater.com/library/Gijsbertsen_2007_-_A_study_to_upscaling_of_the_principle_and_sediment_transport_processes_behind_sand_storage_dams_Kitui_District_Kenya.pdf"" target=""_blank"">Gijsbertsen, C. 2007. A Study to up-Scaling of the P"
Global_MAR_Inventory.13,13,POINT (37.98505 -1.34344),14,Ana Catchment 1,Africa,Kenia,-1.34344,37.98505,-9999,-9999,In-Channel Modification,Subsurface Dam,"<a href=""https://inowas.com/mar-methods/subsurface-dams/"" target=""_blank"">Subsurface dams</a>",River water,Domestic,Maximize Natural Storage,"<a href=""https://www.samsamwater.com/library/Gijsbertsen_2007_-_A_study_to_upscaling_of_the_principle_and_sediment_transport_processes_behind_sand_storage_dams_Kitui_District_Kenya.pdf"" target=""_blank"">Gijsbertsen, C. 2007. A Study to up-Scaling of the P"
Global_MAR_Inventory.14,14,POINT (37.98888 -1.37143),15,Ana Catchment 2,Africa,Kenia,-1.37143,37.98888,-9999,-9999,In-Channel Modification,Subsurface Dam,"<a href=""https://inowas.com/mar-methods/subsurface-dams/"" target=""_blank"">Subsurface dams</a>",River water,Domestic,Maximize Natural Storage,"<a href=""https://www.samsamwater.com/library/Gijsbertsen_2007_-_A_study_to_upscaling_of_the_principle_and_sediment_transport_processes_behind_sand_storage_dams_Kitui_District_Kenya.pdf"" target=""_blank"">Gijsbertsen, C. 2007. A Study to up-Scaling of the P"
Global_MAR_Inventory.15,15,POINT (37.96826 -1.36987),16,Ana Catchment 3,Africa,Kenia,-1.36987,37.96826,-9999,-9999,In-Channel Modification,Subsurface Dam,"<a href=""https://inowas.com/mar-methods/subsurface-dams/"" target=""_blank"">Subsurface dams</a>",River water,Domestic,Maximize Natural Storage,"<a href=""https://www.samsamwater.com/library/Gijsbertsen_2007_-_A_study_to_upscaling_of_the_principle_and_sediment_transport_processes_behind_sand_storage_dams_Kitui_District_Kenya.pdf"" target=""_blank"">Gijsbertsen, C. 2007. A Study to up-Scaling of the P"
Global_MAR_Inventory.16,16,POINT (-8.877 30.4703),17,Souss - Massa,Africa,Morocco,30.4703,-8.877,-9999,-9999,In-Channel Modification,Channel Spreading,"<a href=""https://inowas.com/mar-methods/channel-spreading/"" target=""_blank"">Channel spreading</a>",River water,Agricultural,Maximize Natural Storage,"Bouchaou, L. 2012. MAR Techniques and Examples Successfully Applied in Light of Climate Change Adaptation: Case Study in Morocco presented at the 2 nd Learning Workshop for GEF MENARID Project Managers, December 11, Amman."
Global_MAR_Inventory.17,17,POINT (17.07356 -22.561459),19,Windhoek,Africa,Namibia,-22.561459,17.07356,-9999,-9999,"Well, Shaft and Borehole Recharge",Dug Well/ Shaft/ Pit Injection,"<a href=""https://inowas.com/mar-methods/shallow-wells-shafts-and-pits-infiltration/"" target=""_blank"">Shallow well/shaft/pit infiltration</a>",Lake water,Domestic,Maximize Natural Storage,"Van der Merwe, B. 2000. Integrated Water Resource Management in Windhoek, Namibia. Water Supply 18 (1): 376–381"
Global_MAR_Inventory.18,18,POINT (14.513527 -21.902015),20,Omaruru Delta (OMDEL),Africa,Namibia,-21.902015,14.513527,1997,-9999,Spreading Methods,Infiltration Ponds and Basins,"<a href=""https://inowas.com/mar-methods/infiltration-ponds-and-basins/"" target=""_blank"">Infiltration ponds</a> (<a href=""https://inowas.com/mar-methods/soil-aquifer-treatment-sat/"" target=""_blank"">SAT</a>)",River water,Domestic,Maximize Natural Storage,"<a href=""www.artificialrecharge.co.za/coursenotes/lecturenotes.pdf"" target=""_blank"">Murray, R. 2009. Artificial Recharge - The Intentional Banking and Treating of Water in Aquifers. Department Water Affairs and Forestry. www.artificialrecharge.co.za/cour"
Global_MAR_Inventory.19,19,POINT (-106.70293 52.276007),21,Adam's ASR test site,North America,Canada,52.276007,-106.70293,1993,-9999,"Well, Shaft and Borehole Recharge",ASR/ASTR,"<a href=""https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/"" target=""_blank"">ASR</a>/<a href=""https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/"" target=""_blank"">ASTR</a>",Lake water,Domestic,Water Quality Management,"<a href=""https://ecommons.usask.ca/handle/10388/etd-06252012-110647"" target=""_blank"">Adams, C. A. 1993. Artificial Recharge of Confined Prairie Aquifer. Master thesis, Saskatoon, Canada: Department of Agricultural and Bioresource Engineering, University"
Global_MAR_Inventory.20,20,POINT (-106.475703 52.143753),22,Cole's ASR test site 1,North America,Canada,52.143753,-106.475703,1982,-9999,"Well, Shaft and Borehole Recharge",Dug Well/ Shaft/ Pit Injection,"<a href=""https://inowas.com/mar-methods/shallow-wells-shafts-and-pits-infiltration/"" target=""_blank"">Shallow well/shaft/pit infiltration</a>",River water,Domestic,Water Quality Management,"<a href=""https://ecommons.usask.ca/handle/10388/etd-06152012-114915"" target=""_blank"">Cole, B. J. 1985. Preliminary Investigation of Groundwater Recharge by Injection in Saskatchewan. Master thesis, Saskatoon, Canada: Department of Agricultural Engineerin"
